framework_name,version,language,http_library,tls_version,ja4_signature,simplified_ja4,test_date,verified_runs,detection_rate,false_positive_rate,notes
Perplexity AI,TBD,Python,TBD,1.3,t00d1812h1_538207513f28_c274cfeb10f6,,2025-12-28,2/8,TBD,TBD,Full JA4 signature (official tool). 8 handshake(s). Multiple signatures (6 unique).
Replicate,TBD,Python,TBD,1.3,t00d1812h1_538207513f28_4041b17ab131,,2025-12-28,3/8,TBD,TBD,Full JA4 signature (official tool). 8 handshake(s). Multiple signatures (4 unique).
Semantic,TBD,Python,TBD,1.3,t00d1812h1_538207513f28_c274cfeb10f6,t10_simplified_5165598af8d9,2025-12-28,1/3,TBD,TBD,Extracted from PCAP. 3 handshake(s) captured. 1/3 consistent. Note: Simplified signature (not full JA4 spec).
Together AI,TBD,Python,TBD,1.3,t00d1812h1_538207513f28_c274cfeb10f6,t10_simplified_5524ffcac63b,2025-12-28,1/1,TBD,TBD,Extracted from PCAP. 1 handshake(s) captured. 1/1 consistent. Note: Simplified signature (not full JA4 spec).
Transformers,TBD,Python,TBD,1.3,t00d181200_351c72009e44_c1f7128d93bc,t10_simplified_6b1269bcd367,2025-12-28,1/3,TBD,TBD,Extracted from PCAP. 3 handshake(s) captured. 1/3 consistent. Note: Simplified signature (not full JA4 spec).
Vertexai,TBD,Python,TBD,1.3,t00d1809h2_8003986cee13_5027fbe6a38d,t12_simplified_5e333b4d77d6,2025-12-28,1/1,TBD,TBD,Extracted from PCAP. 1 handshake(s) captured. 1/1 consistent. Note: Simplified signature (not full JA4 spec).
Google,TBD,Python,TBD,1.3,t10_simplified_a3b4c8d4850b,t10_simplified_a3b4c8d4850b,2025-12-28,1/6,TBD,TBD,Extracted from PCAP. 6 handshake(s) captured. 1/6 consistent. Note: Simplified signature (not full JA4 spec).
Perplexity,TBD,Python,TBD,1.3,t10_simplified_02f8f0fdcd7f,t10_simplified_02f8f0fdcd7f,2025-12-28,1/4,TBD,TBD,Extracted from PCAP. 4 handshake(s) captured. 1/4 consistent. Note: Simplified signature (not full JA4 spec).
Runpod,TBD,Python,TBD,1.3,t00d1812h1_538207513f28_c274cfeb10f6,t10_simplified_9db6efa6524c,2025-12-28,1/2,TBD,TBD,Extracted from PCAP. 2 handshake(s) captured. 1/2 consistent. Note: Simplified signature (not full JA4 spec).
Stability,TBD,Python,TBD,1.3,t00d1812h1_538207513f28_c274cfeb10f6,t10_simplified_932cc227a644,2025-12-28,1/1,TBD,TBD,Extracted from PCAP. 1 handshake(s) captured. 1/1 consistent. Note: Simplified signature (not full JA4 spec).
